original_title,metadata
Phenomenon,drama fantasy romance sciencefiction braintumor telekinesis genius terminalillness doctor psionicpower johntravolta kyrasedgwick forestwhitaker robertduvall jeffreydemunn richardkiley davidgallagher ashleybuccille tonygenaro seano'bryan troyevans brucea.young vytoruginis brentspiner susanmerson michaelmilhoan jonturteltaub
Snow Dogs,adventure comedy family adoption logcabin alaska sleddogs jimbelushi cubagoodingjr. jamescoburn m.emmetwalsh sisqó nichellenichols grahamgreene briandoyle-murray angelamoore brianlevant
Scrooged,fantasy comedy drama holiday tvratings comedy scrooge christmascarol ghost duringcreditsstinger christmas billmurray karenallen johnforsythe bobcatgoldthwait carolkane robertmitchum michaelj.pollard alfrewoodard johnglover davidjohansen nicholasphillips mabelking johnmurray wendiemalick briandoyle-murray joelmurray deloreshall jamiefarr buddyhackett robertgoulet johnhouseman leemajors marylouretton mariariva anneramsey sydnascott milesdavis larrycarlton davidsanborn paulschaffer maryellentrainor al'reddog'weber roberthammond susanisaacs richarddonner
Nacho Libre,comedy family nun sport orphanage ordensbruder ringer money jackblack anadelareguera héctorjiménez dariusrose moisésarias carlosmaycotte richardmontoya césarbarrón rafaelmontalvo juliosandoval peterstormare jaredhess
Bridesmaids,comedy romance competition jealousy fight materialism bridesmaid femalefriendship fearofcommitment wealth motherdaughterrelationship weddingparty sexualhumor bestfriend maidofhonor drunk weddingdress groupoffriends casualsex vanity girlfight missingwoman outofcontrol kristenwiig rosebyrne mayarudolph wendimclendon-covey elliekemper melissamccarthy chriso'dowd jonhamm jessicast.clair tomyi elainekao michaelhitchcock kalihawk joenunez rebelwilson mattlucas jillclayburgh gregtuculescu terrycrews carniewilson wendywilson chynnaphilips brennancrewe miaroseframpton mitchsilpa danapowell brianpetsos paulfeig
This Is the End,action comedy rape monster panic friendship celebrity satire party possession darkcomedy endoftheworld apocalypse drug demon self-referential actor jamesfranco jonahhill sethrogen jaybaruchel dannymcbride craigrobinson michaelcera emmawatson mindykaling davidkrumholtz christophermintz-plasse rihanna martinstarr paulrudd channingtatum kevinhart azizansari jasonsegel nickcarter kevinrichardson a.j.mclean howiedorough brianlittrell lograham douglasm.griffin steffiegrote brianhuskey sethrogen
Stigmata,horror vatican miracle christian faith clergyman atheist patriciaarquette gabrielbyrne jonathanpryce nialong thomaskopache radeserbedzija enricocolantoni dicklatessa portiaderossi patrickmuldoon anncusack shauntoub tomhodges lydiahazan shaunduke rupertwainwright
Men of Honor,"drama diving u.s.navy robertdeniro cubagoodingjr. charlizetheron aunjanueellis halholbrook michaelrapaport powersboothe davidkeith glynnturman tylerposey henryharris georgetillman,jr."
Takers,action crime drama thriller heist chrisbrown haydenchristensen mattdillon michaelealy idriselba t.i. zoesaldana paulwalker mariannejean-baptiste johnathonschaech jayhernandez steveharris trevordonovan gaiuscharles nancyyoung gideonemery zulayhenao glynnturman johnluessenhop
The Big Wedding,comedy adoption marriage divorce birthmother robertdeniro dianekeaton katherineheigl amandaseyfried tophergrace susansarandon robinwilliams benbarnes christacampbell kylebornheimer christineebersole davidrasche patriciarae anaayora meganketch ianblackman shanadowdeswell dougtorres marvinavinique joshuanelson quincydunn-baker sylviakauders edmundlyndeck johnv.barbieri justinzackham
"Big Mommas: Like Father, Like Son",crime comedy action undercover fbi sequel comedy disguise fbiagent impersonation duringcreditsstinger martinlawrence brandont.jackson portiadoubleday marimorrow faizonlove anaortiz stevewarren marcjohnjefferies jessicalucas emilyrios michelleang henrilubatti lorenzopisoni tonycurran brandongill zackmines rhettlindsey kenjeong maxcasella susanwalters sherrishepherd susangriffiths briannegould dawntaviabullard susiespearpurcell lilychambers jasmineburke julietkim brianlafontaine ramseyluke jazmiabattle christianipitts g.christophercarson nilsacastro cheniquecharmaine shaunclay matthewl.collins tiffanycosey michaell.covington orlandovargasdiaz nikiedwards rodneyedwards curtisgammage jongould joelharold keithallenhayes angeljackson elijones shawnknowles alphonsea.lambertjr. thinalowe carmenmatheny chantalmaurice kenmelde rachelleneal katherineneslund lexinoel kaylaperkins gregperrow c.j.perry justinprice eddierattanasouk sarahreagin codyrowlett joshuatanksley lisamariethomas deonnayoung johnwhitesell
Source Code,thriller sciencefiction mystery bomb identity fantasy bomber suspicion timetravel investigation surrealism soldier helicopterpilot jakegyllenhaal michellemonaghan verafarmiga russellpeters michaelarden jeffreywright casanvar brentskagford craigthomas gordonmasten susanbain joecobden paulajeanhixson lincolnward kylegatehouse albertkwan anneday-jones claricebyrne jamesa.woods tomtammi mattholland jassonfinney kyleallatt jotinagra duncanjones
Alive,action adventure drama thriller rugby stranded survival planewreck airplanecrash freezing disastermovie ethanhawke vincentspano joshhamilton bruceramsay johnnewton davidkriegel kevinbreznahan sambehrens illeanadouglas jacknoseworthy christianj.meoli jakecarpenter michaeldelorenzo josézúñiga dannynucci davidcubitt giandidonna johncassini michaelwoolson chadwillett richardiancox gordoncurrie elekeats joshlucas silviopollio nunoantunes michaeltayles stevenshayler jasongaffney jerrywasserman michaelsicoly dianabarrington jand'arcy frankpellegrino setharnett aureliodinunzio fionaroeske tonymorelli patromano johnmalkovich frankmarshall
The Number 23,thriller drama mystery suicide basedonnovel hotelroom obsession sadomasochism psychologicalthriller killer family numbers jimcarrey virginiamadsen loganlerman dannyhuston lynncollins markpellegrino rhonamitra davidstifel coreystoll michellearthur paulbutcher edlauter troykotsur patriciabelcher leslimargherita shaktishannon tarakarsian joelschumacher
The Young and Prodigious T.S. Spivet,adventure drama family train cartographer kylecatlett helenabonhamcarter judydavis callumkeithrennie niamhwilson jakobdavies rickmercer robertmaillet dominiquepinon julianrichings richardjutras mairtino'carrigan michelperron dawnford harrystandjofski susanglover jamesbradford lisabronwynmoore feliciashulman dylankingwell ericdavis rebeccaamzallag ambergoldfarb leighanntaylor andrewsimms unakay sylviastewart sabrinareeves anaalarcon zacharyamzallag kyleallatt martinbrisebois victorcornfoot christieclaymore anne-sophiebozon jean-pierrejeunet
1941,action comedy submarine california worldwarii warship pearlharbor satire losangeles anarchiccomedy danaykroyd nedbeatty johnbelushi lorrainegary murrayhamilton christopherlee timmatheson robertstack treatwilliams johncandy toshirōmifune warrenoates nancyallen lucillebenson jordanbrian elishacookjr. eddiedeezen bobbydicicco diannekay perrylang pattilupone j.patrickmcnamara frankmcrae stevenmond slimpickens wendiejosperber davidl.lander michaelmckean dickmiller lionelstander dubtaylor iggiewolfington joeflaherty susanbacklinie kerrysherman mickeyrourke stevenspielberg
Dreamer: Inspired By a True Story,drama family horserace horse kentucky sport basedontruestory familyrelationships fatherdaughterrelationship kurtrussell dakotafanning kriskristofferson elisabethshue davidmorse freddyrodríguez luisguzmán johngatins
A History of Violence,drama thriller crime robbery doublelife dualidentity smalltown indiana distrust fight self-defense marriage familyrelationships mistakenidentity diner lawyer mobster violence attemptedrobbery viggomortensen mariabello heidihayes ashtonholmes williamhurt edharris petermacneill stephenmchattie gregbryk kyleschmid sumelakay gerryquigley deborahdrakeford billmacdonald aidandevine davidcronenberg
Transporter 2,action thriller crime martialarts warondrugs kidnapping bodyguard baby-snatching jasonstatham ambervalletta katenauta alessandrogassman françoisberléand robertsmall matthewmodine jasonflemyng keithdavid ronmadoff louisleterrier
The Quick and the Dead,action western gunslinger revenge prairie shootout pistol sharonstone genehackman russellcrowe leonardodicaprio tobinbell robertsblossom kevinconway keithdavid lancehenriksen pathingle garysinise markboonejunior oliviaburnette faymasterson raynorscheine woodystrode samraimi
Laws of Attraction,action comedy romance thriller irland rockstar courtcase rivalry fallinginlove divorcelawyer piercebrosnan juliannemoore michaelsheen parkerposey francesfisher noradunn annikapergament peterhowitt
Bringing Out the Dead,drama newyork coma ambulance nightlife drugaddiction hallucination dyinganddeath night ambulanceman alcoholism teacher hospital violence city drug illegalprostitution roadmovie euthanasia nicolascage patriciaarquette johngoodman vingrhames tomsizemore marcanthony marybethhurt cliffcurtis cynthiaroman sonjasohn aidaturturro nestorserrano larryfessenden arthurj.nascarella martinscorsese queenlatifah michaelkennethwilliams craigmumsgrant martinscorsese
Repo Men,action sciencefiction thriller crime dystopia evilcorporation repoman aftercreditsstinger judelaw forestwhitaker alicebraga lievschreiber caricevanhouten chandlercanterbury rza joepingue tiffanyespensen lizalapira yvettenicolebrown tanyaclarke johnleguizamo daniellévesque maxturnbull miguelsapochnik
디워,fantasy drama horror action thriller sciencefiction giantsnake korea building dagger southkorea jasonbehr robertforster aimeegarcia chrismulkey elizabethpeña craigrobinson amandabrooks holmesosborne johnales billygardell kevinbreznahan geoffpierson nicolerobinson jodycarlson codyarens dominicoliver craiganton patricialee eloycasados alexasheehan retta rickykim shimhyung-rae
Bogus,fantasy comedy family circus magic aunt imaginaryfriend whoopigoldberg gérarddepardieu haleyjoelosment utelemper andreamartin nancytravis denismercier sherylleeralph barbarahamilton normanjewison
The Incredible Burt Wonderstone,comedy magic lasvegas stevecarell jimcarrey stevebuscemi oliviawilde jamesgandolfini alanarkin jaymohr gillianjacobs bradgarrett davidcopperfield fionahale michaelherbig leniito rustymeyers augieisaac donscardino
Cats Don't Dance,animation comedy family music dance musical furry talkinganimal anthropomorphism hollywood singing acting movies scottbakula jasmineguy nataliecole ashleypeldon lindsayridgeway markdindal
Cradle Will Rock,drama  hankazaria rubénblades joancusack johncusack billmurray johnturturro emilywatson audramcdonald caryelwes philipbakerhall cherryjones angusmacfadyen vanessaredgrave susansarandon jameysheridan bobbalaban jackblack kylegass paulgiamatti adelerobbins timrobbins
The Good German,war crime drama mystery romance thriller berlin corruption nazibackground loveofone'slife chauffeur blackmarket missile postwarperiod warcorrespondent allied truth murder humanity georgeclooney cateblanchett tobeymaguire tonycurran lelandorser beaubridges jackthompson robinweigert ravilisyanov christianoliver davepower donpugsley dominiccomperatore johnroeder gianfrancotordi stevensoderbergh
George and the Dragon,adventure swordplay hero sword dragon jamespurefoy piperperabo patrickswayze michaelclarkeduncan billtreacher jean-pierrecastaldi rolloweeks paulfreeman stefanjürgens stefanweinert philmckee carolinecarver simoncallow joanplowright carlchase valkilmer tomreeve
Apocalypse Now,drama war guerrilla river vietnam vietcong cambodia army insanity tribe greenberet jungle apocalypse death napalm martinsheen marlonbrando robertduvall fredericforrest sambottoms laurencefishburne alberthall harrisonford dennishopper g.d.spradlin jerryziesmer scottglenn jameskeane kerryrossall colleencamp cynthiawood lindacarpenter jackthibeau tommason damienleake marccoppola glennwalken billgraham jerryross charlesrobinson nicknicholson dongordonbell evana.lottman r.leeermey jimgaines charliesheen vittoriostoraro francisfordcoppola henrystrzalkowski lonniewoodley auroreclément francisfordcoppola
Going the Distance,comedy drama romance malenudity sex sanfrancisco waitress newspaper bar nudity airplane malefemalerelationship writer newyorkcity masturbation phonesex textmessaging intern longdistancerelationship womandirector recordcompany skype drewbarrymore justinlong charlieday jasonsudeikis christinaapplegate ronlivingston nataliemorales kelligarner oliverjackson-cohen jimgaffigan junedianeraphael robriggle sarahburns mattservitto leightonmeester taylorschwencke mikebirbiglia grahamdavie zachpage mickhazen happyanderson lorettafox caroledavis kristenschaal terrybeaver charliehewson nanetteburstein
Mr. Holland's Opus,music drama family composer mentor deaf-mute musical apprentice privatelife music disabled richarddreyfuss glenneheadly jaythomas olympiadukakis williamh.macy aliciawitt nicholasjohnrenner josephanderson anthonynatale jeanlouisakelly terrencehoward damonwhitaker alexandraboyd joannagleason bethmaitland joshuaminnick stephenherek
Criminal,action cia memory convict implant kevincostner garyoldman tommyleejones ryanreynolds jordimollà galgadot michaelpitt amaurynolasco aliceeve antjetraue scottadkins laradecaro freddybosche emmanuelimani harryhepple dougcockle colinsalmon stevenicolson sopedirisu gisellamarengo markkempner michaelbodie joshuajames samanthacoughlan dannywebb davidavery joefidler michaelwebber katharinegwen richardreid kellyclare joannabrookes matthewsteer andrewbyron elizabethross jamesrichardmarshall henrygarrett timwoodward lottespringrice nathanosgood sarahmiddleton dragossavulescu tamerdoghem priyangaburford dianadimitrovici aminazia riofredrikadebolla stevenbrand nataliemarieames piersmorgan lucagiorgiomaggiora marksmith louistamone sophieross samuelturnero'toole markunderwood ianburfield natalieburn jamiebenchambers michaelchapman anastasiaharrold danielwestwood arielvromen
Out of Africa,drama dancing trainstation denmark fire cemetery compass lion picnic fireworks grave passion farmworker plantation kenia coffeeplantation safari banker airplane weddingnight adventure aggressionbyanimal friendship syphillis merylstreep robertredford klausmariabrandauer michaelkitchen malickbowens josephthiaka stephenkinyanjui michaelgough suzannahamilton rachelkempson grahamcrowden lesliephillips mikebugara shanerimmer jobseda mohammedumar iman sydneypollack
Flight,drama confession airplane fword hangover airplanecrash syringe denial pornactress jesusfreak baseballstadium perjury nationaltransportationsafetyboard flyingupsidedown narcissist relapse substanceabuse denzelwashington doncheadle brucegreenwood kellyreilly johngoodman briangeraghty nadinevelazquez tamaratunie melissaleo garcellebeauvais justinmartin petergerety jamesbadgedale sharonblackwood cartercabassa johncrow danedavenport piersmorgan robertzemeckis
Moonraker,action adventure thriller sciencefiction venice massmurder spacemarine spacesuit marcussquare spacebattle secretbase utopia spacetravel boatchase astronaut lasers britishsecretservice weightlessness rogermoore loischiles michaellonsdale corinnecléry richardkiel bernardlee geoffreykeen desmondllewelyn loismaxwell toshirôsuga emilybolton blancheravalec irkabochenko leilashenna waltergotell alfiebass mikemarshall douglaslambert arthurhoward lewisgilbert
The Grand Budapest Hotel,comedy drama hotel painting wartime gunfight theft mentorprotégérelationship european hotellobby renaissancepainting ralphfiennes tonyrevolori f.murrayabraham mathieuamalric adrienbrody willemdafoe jeffgoldblum harveykeitel judelaw billmurray edwardnorton saoirseronan jasonschwartzman léaseydoux tildaswinton tomwilkinson owenwilson florianlukas bobbalaban fisherstevens wallacewolodarsky warisahluwalia larrypine karlmarkovics volkermichalowski danielsteiner hendrikvonbültzingslöwen lisakreuzer rainerreiners sabineurig claudiajung matthiasmatschke philippsonntag hansmartinstier giseldavolodi nealhuff steffenscheumann miltonwelsh pietpaes michaelacaspar heikehanold-lynch roymacready carlsprague goloeuler romanberger michaelbenthin lucashedges wolfgangceczor georgtryphon gabrielrush hanneswegener geraldsullivan benhoward markodyrlich jellaniemann marcelmazur robertbienas oliverclaridge bernhardkremser kunichinomura sisterannarademacher heinz-wernerjeschkowski sabineeuler renateklein paulschlase darindamjanow darronge robinhurlstone juttawestphal giselabech birgitmüller ursulakuhnt monikakrüger wolframnielacny johnpeet jürgenschwämmle frankjacob lennartmeyer alfredhänel manpreetgerlach davidadamik moritzhepper davidcioffi oliverhazell bohumilváchal edmunro francescozippel enricohoffmann mariegoyette jenoorosz gyulalukács georgrittmannsperger dirkbossmann arwinlobedann matthiasholfert reinholdhegelow steffennixdorf manfredlindner uweholoubek wesanderson
Hearts in Atlantis,drama mystery americanfootball billard baseballbat richardnixon psychicpower americanflag wager lingerieslip singlemother moving stranger childhood childhoodfriends ferriswheel strawhat informant mysteriousstranger womancrying librarycard lowmen bronkonagurski culvert floatingoninnertube windchime jackofspades clairvoyant hiresrootbeer wrongnumber anthonyhopkins antonyelchin hopedavis mikaboorem davidmorse alantudyk tombower celiaweston deirdreo'connell timothyreifsnyder adamlefevre brettfleisher terrybeaver willrothhaar scotthicks
Arachnophobia,comedy horror smalltown outbreak exterminator spiderbite creaturefeature spiderqueen animalattack spiders invasivespecies arachnophobia animalhorror spidergeneral jeffdaniels harleyjanekozak garetteratliffhenson marlenekatz juliansands brianmcnamara johngoodman stuartpankin henryjones francesbay roybrocksmith kathykinney marycarver jameshandy peterjason janemarlarobbins theoschwartz coriwellins chanceboyer brandynorwood nathanielspitzley markl.taylor loisdebanzie warrenrice robertfranktelfer michaelstevejones jayscorpio fionawalsh teresedelpiero mai-liskuniholm robert'bobbyz'zajonc juanfernández frankmarshall
Frequency,crime drama sciencefiction thriller newyork mother detective baseball radio firemen future time raceagainsttime investigation father history murder paranormal rescue familyrelationships escape crime explosion flashback phenomenon amateurradio auroraborealis alteringhistory dennisquaid jimcaviezel andrebraugher elizabethmitchell noahemmerich shawndoyle jordanbridges melissaerrico michaelcera danielhenson stephenjoffe jackmccormack petermacneill marinhinkle richardsali nesbittblaisdell joanheney jessicameyer kirstenbishop roccosisto gregoryhoblit
Vacation,comedy route66 grandcanyon cow vacation roadtrip sequel dysfunctionalfamily familyvacation amusementpark trucker rollercoaster themepark airlinepilot bipolardisorder planotexas edhelms christinaapplegate skylergisondo steelestebbins chrishemsworth lesliemann chevychase beverlyd'angelo charlieday catherinemissal ronlivingston normanreedus elizabethgillies keegan-michaelkey reginahall milesdoleac nadineavola brandonmichaelhale nickkroll timheidecker kaitlinolson michaelpeña colinhanks emyricrutchfield alkoyabrunson hannahdavis davidclennon kirstinford ethanmaher cristinasquyres ryancartwright valeriepayton o'clairalexander hollygardner r.f.daley elizabethfendrick michaelh.cole brookejayetaylor matthewcornwell johnfrancisdaley libbyblanton rickericson omarlagudali cameronmcintyre hunterdenoyelles johnfrancisdaley
Get Shorty,comedy thriller crime gambling miami basedonnovel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con johntravolta genehackman renerusso dannydevito dennisfarina delroylindo jamesgandolfini jongries reneeprops davidpaymer martinferrero miguelsandoval jacobvargas bobbyslayton lindahart jeffreyj.stephen barrysonnenfeld
Chicago,action comedy crime drama music chicago basedonstagemusical prisonmatron jazzage nudemanmurdered catherinezeta-jones renéezellweger queenlatifah richardgere christinebaranski tayediggs cliffsaunders dominicwest johnc.reilly colmfeore chitarivera susanmisner denisefaye deidregoodwin mýa ekaterinachtchelkanova lucyliu jonathanwhittaker seanmccann jayneeastwood robmarshall
Big Daddy,comedy drama bachelor law vomit syracuseuniversity lawschool youngboy politicallyincorrect wettingpants centralpark publicurination child'spointofview responsibility immaturity adamsandler joeylaurenadams kristyswanson colesprouse jonstewart lesliemann allencovert robschneider peterdante stevebuscemi dylansprouse joshmostel josephbologna jonathanloughran timherlihy edmundlyndeck larkinmalloy deborahs.craig jaredsandler jackiesandler dennisdugan
American Pie 2,comedy romance sex party summer beachhouse groupoffriends grossoutcomedy tantra mistakenforaspecialeducationstudent superglue sexcomedy jasonbiggs thomasiannicholas chrisklein seannwilliamscott eddiekayethomas shannonelizabeth alysonhannigan natashalyonne tarareid menasuvari chrisowen eugenelevy mollycheek denisefaye lisaarturo johncho justinisfeld elimarienthal caseyaffleck tsianinajoelson laceybeeman breeturner brianturk joellecarter larrydrake leegarlington ernielively morgannagler georgewyner matthewfrauman brianlester nigelgibbs kevincooney marilynbrett joannagarcia jesseheiman jackwallace serahd'laine norazehetner lukeedwards adambrody stevenshenbaum nancystone kevinkilner colepetersen paitynjames josephd.reitman mikeerwin robertpeters lauriereeves jennifercoolidge curtclendenin marcosanchez christinacindrich matthewpeters lisagould davidsmigelski amandaarmato amarabalthrop-lewis jayrossi adamherz j.b.rogers brettshuttleworth amandawilmshurst devondavidson danielspink tamiarichmond rachelblasko derrickharper kelleyschneider danandreiu halliebird nicolebrunner don'tex'clark aprilflorio marcs.gordon victoriagray philhawn matthobbie meaganlopez sandraluesse tararice elaineszupello jasontatum tadpoletriplett clydetull robertwarnack bryanwatkins stevenpaulzsenyuk j.b.rogers
Toy Story,animation comedy family jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife tomhanks timallen donrickles jimvarney wallaceshawn johnratzenberger anniepotts johnmorris erikvondetten lauriemetcalf r.leeermey sarahfreeman pennjillette johnlasseter
Speed,"action adventure crime bomb airport bus busride highway bombplanting keanureeves dennishopper sandrabullock joemorton jeffdaniels alanruck glennplummer richardlineback bethgrant hawthornejames carloscarrasco davidkriegel natsukoohama danielvillarreal simonegad lorettajean sherrivillanueva margaretmedina jordanlund robertmailhouse patrickfischler patrickjohnhurley susanbarnes rickdano michaelsottile janecrawley anneo'sullivan beaustarr johncapodice thomasrosales,jr. jamesdumont antoniomora pattytoy toddgordon brucewright markkriski dagnyhultgreen richardschiff josephcarberry sandymartin neishafolkes-lemelle jimmapp miltonquon soniajackson carmenwilliams paulamontes loydaramos juliavera maryloulim briank.grant barrykramer robinmckee paigegoodman christinafitzgerald tarathomas cecetsou michaeln.fujimoto richardgelb jandebont"
The Vow,drama romance coma amnesia basedontruestory memoryloss caraccident romanticdrama rachelmcadams channingtatum samneill scottspeedman jessicalange lucasbryant kristinapesic dilloncasey wendycrewson joeyklein joecobden jeanannegoossen shannonbarnett lindsayames michaelsucsy
Extraordinary Measures,drama  harrisonford brendanfraser kerirussell courtneyb.vance meredithdroeger diegovelazquez jaredharris patrickbauchau alanruck davidclennon deewallace ayannaberkshire p.j.byrne g.j.echternkamp vupham derekwebster janaleehamblin christopherd.harder tra'reneechambers lilymariye sherilynlawson ericmartinreid jeaninejackson robertblanche michaelshamberg tomvaughan
Remember the Titans,drama kukluxklan americanfootball trainer sportsteam racepolitics coaction apartheid sport highschool racialsegregation racist basedontruestory americanfootballplayer xenophobia headcoach denzelwashington willpatton ryanhurst woodharris haydenpanettiere ryangosling nicoleariparker katebosworth donaldfaison craigkirkwood ethansuplee kippardue earlpoitier burgessjenkins marionguyot nealghant davidjefferson prestonwigasibrant johnmichaelweatherly gregoryalanwilliams brettrice richardfullerton j.donferguson krystenleighjones afemoomilami andrewmasset timware tomturbiville tomnowicki jimgrimshaw daviddwyer bokeister louwalker rhubarbjones bobneal danalbright mikepniewski sharonblackwood paulaclairejones kellycheston walkerjones ronaldl.conner courtneyjamesstewart e.y.coley johnwesley b.keithharmon andyfrancis stuartgreer derickmarshall kevindankosky davidchandley scottslade ricreitz rorygriffin ryankowalske thomaselliott c.stephenbrowder jameeljackson randyd.patmanjr. jemall.webb shawncummings michaelrouby raystoney shandaleemunson daviddevries mattadams ryanduncan boazyakin
The Hunt for Red October,action adventure thriller submarine coldwar russian defection jackryan alecbaldwin seanconnery scottglenn samneill jamesearljones jossackland richardjordan stellanskarsgård courtneyb.vance peterfirth timcurry jeffreyjones timothycarhart larryferguson freddaltonthompson danieldavis nedvaughn anthonypeck ronaldguttman tomasarana sven-olethorsen rickducommun markdraxton tomfisher peteantico anatolidavydov ivang'vera sven-olethorsen borisleekrutonog kentonkovell gatesmcfadden andrewdivoff johnmctiernan
The Butler,drama whitehouse butler biography civilrights forestwhitaker davidbanner michaelraineyjr. lajessiesmith mariahcarey alexpettyfer vanessaredgrave amiameen clarencewilliamsiii johnp.fertitta jimgleason oprahwinfrey johncusack robinwilliams jamesmarsden alanrickman minkakelly lievschreiber jessewilliams lennykravitz cubagoodingjr. terrencehoward janefonda davidoyelowo yayadacosta stephenrider neallagordon rustyrobertson leedaniels
DodgeBall: A True Underdog Story,comedy underdog competition bank bar ball cheerleader diet wife sport gymnasium pleite fitness-studio love mailorderbride cheerleading pirate aftercreditsstinger duringcreditsstinger vincevaughn christinetaylor benstiller riptorn justinlong jasonbateman stephenroot joeldavidmoore chriswilliams alantudyk missipyle jamalduff garycole hankazaria alkaplon kevinporter chucknorris davidboyd davidhasselhoff rawsonmarshallthurber
The Addams Family,horror comedy fantasy deadwish vampire blackhumor uncle eccentric werewolf macabre loanshark accountant raúljuliá anjelicahuston christopherlloyd christinaricci carelstruycken danhedaya jimmyworkman elizabethwilson danaivey judithmalina paulbenedict christopherhart johnfranklin tonyazito mercedesmcnab douglasbrianmartin stevenm.martin maureensuelevin darlenelevin barrysonnenfeld
Ace Ventura: When Nature Calls,crime comedy adventure africa indigenous humananimalrelationship bat jimcarrey ianmcneice simoncallow maynardeziashi bobgunton sophieokonedo tommydavidson adewaleakinnuoye-agbaje dannyd.daniels sammotoanaphillips damonstandifer andrewsteel brucespence tomgrunke arsenio'sonny'trinidad steveoedekerk
The Princess Diaries,comedy family romance heirtothethrone grandmothergranddaughterrelationship highschool princess royalty teenager popularity socialoutcast basedonyoungadultnovel annehathaway julieandrews heathermatarazzo robertschwartzman héctorelizondo mandymoore carolinegoodall erikvondetten sandraoh patrickjohnflueger seano'bryan kathleenmarshall mindyburbano elizabethgudenrath kimleighsmith biancalopez shannonwilcox greglewis hopealexander-willis tamaralevinson lenorethomas erikbragg meredithshevory anitamariecurran cassierowell toddlowe joeunitas joelmccrary claresera bonnieaarons darwoodchung julieparis jeffmichalski erino'reilly steverestivo brigittalauren janemorris garycombs marvinbraverman allankent robertglaudini billferrell joeross charlesguardino sparrowheatley gwendaperez barbaramarshall samdenoff tracyreiner darukawalkowski dianefrazen stanleyfrazen barbaranabozny iraglick solrosenthal joeallenprice williebrown patrickrichwood terrybrown jamesbrownorleans robzylowski karlmakinen sunnyhawks kathygarver erikayoung ethansandler shanelliot treycarter budmarkowitz markthompson lilymarshall-fricker brianphelps charlottemarshall-fricker sandrataylor tomhines nicholletom patricknoonan aligage johnmoran tanyadifrancesco tonjelarsgard ruebengrundy gwenholloway lorisigrist terrisigrist garrymarshall
The First Wives Club,comedy divorce divorcedwoman reunitedfriends goldiehawn bettemidler dianekeaton maggiesmith danhedaya victorgarber bronsonpinchot marciagayharden eileenheckart philipbosco elizabethberkley jenniferdundas sarahjessicaparker stockardchanning stephencollins robreiner jamesnaughton arigreenberg ivanatrump timothyolyphant michelebrilliant dinaspybey-waters adriatennor julieheradestefano hughwilson
Se7en,crime mystery thriller self-fulfillingprophecy detective s.w.a.t. drugdealer evisceration lustandimpulsiveness rageandhate prideandvanity immoderateness insomnia investigation pension police serialkiller bradpitt morganfreeman gwynethpaltrow johnc.mcginley kevinspacey r.leeermey richardroundtree richardschiff juliearaskog markboonejunior johncassini rege.cathey petercrombie hawthornejames michaelmassee lelandorser richardportnow danielzacapa alfonsofreeman harrissavides andrewkevinwalker richmondarquette pamalatyson emilywagner shannonwilcox georgechristy endrehules williamdavidson bobcollins dominiquejennings allankolman geneborkan mariodidonato harrisonwhite bobstephenson michaelreidmackay lennieloftin martinserene davidcorreia lexiebigham evanmirand pauleckstein rachelflanagan heidischanz brianevers jamesdeeth charlesa.tamburro charless.dutton arthurmax davidfincher
District 9,sciencefiction slum streetgang mutation southafrica johannesburg dystopia genetics government satire alien prawn mockumentary alternatehistory racism metamorphosis xenophobia internmentcamp bodytransformation alientechnology segregation sharltocopley jasoncope nathalieboltt sylvainestrike elizabethmkandawie johnsumner williamallenyoung nickblake gregmelvill-smith roberthobbs vanessahaywood kennethnkosi morenabusasesatsa thembankosi mzwandilenqoba barrystrydom jedbrophy louisminnaar marianhooman vittorioleonardi davidclatworthy michaelhuff davidjames timgordon anthonybishop anthonyfridjhon eugenekhumbanyiwa meltsieberhagen andreodendaal louisesaint-claire normananstey nickboraine brandonauret jacquesgombault justinstrydom simomogwaza mattstern daviddukas danielhadebe bongombutuma johnnyselema neillblomkamp trevorcoppola neillblomkamp
The SpongeBob SquarePants Movie,animation comedy family ocean sea star water freeze spongebob tomkenny clancybrown rodgerbumpass billfagerbakke carolynlawrence jeffreytambor scarlettjohansson alecbaldwin davidhasselhoff mr.lawrence stephenhillenburg
Mystic River,thriller crime drama mystery childabuse sexualabuse lossofchild repayment suppressedpast arbitrarylaw boston workers'quarter referencetosprite child seanpenn timrobbins kevinbacon laurencefishburne marciagayharden lauralinney kevinchapman tomguiry emmyrossum eliwallach spencertreatclark andrewmackin adamnelson robertwahlberg jennyo'hara johndoman cameronbowen jasonkelly connorpaolo t.brucepage milesherter caydenboyd toridavis jonathantogo clinteastwood
